BATTLE CITY - BOSS FIGHT LOG
----------------------------
Tick 182: Raw=20, Pruned=24, Speedup=0.83x
Tick 183: Raw=20, Pruned=24, Speedup=0.83x
Tick 184: Raw=20, Pruned=24, Speedup=0.83x
Tick 185: Raw=20, Pruned=24, Speedup=0.83x
Tick 186: Raw=20, Pruned=24, Speedup=0.83x
Tick 187: Raw=20, Pruned=24, Speedup=0.83x
Tick 188: Raw=20, Pruned=24, Speedup=0.83x
Tick 189: Raw=20, Pruned=24, Speedup=0.83x
Tick 190: Raw=20, Pruned=24, Speedup=0.83x
Tick 191: Raw=20, Pruned=24, Speedup=0.83x
Tick 192: Raw=20, Pruned=24, Speedup=0.83x
Tick 193: Raw=20, Pruned=24, Speedup=0.83x
Tick 194: Raw=20, Pruned=24, Speedup=0.83x
Tick 195: Raw=20, Pruned=24, Speedup=0.83x
Tick 196: Raw=20, Pruned=24, Speedup=0.83x
Tick 197: Raw=20, Pruned=24, Speedup=0.83x
Tick 198: Raw=20, Pruned=24, Speedup=0.83x
Tick 199: Raw=20, Pruned=24, Speedup=0.83x
Tick 200: Raw=20, Pruned=24, Speedup=0.83x
Tick 201: Raw=20, Pruned=24, Speedup=0.83x
Tick 202: Raw=20, Pruned=24, Speedup=0.83x
Tick 203: Raw=20, Pruned=24, Speedup=0.83x
Tick 204: Raw=20, Pruned=24, Speedup=0.83x
Tick 205: Raw=20, Pruned=24, Speedup=0.83x
Tick 206: Raw=20, Pruned=24, Speedup=0.83x
Tick 207: Raw=20, Pruned=24, Speedup=0.83x
Tick 208: Raw=20, Pruned=24, Speedup=0.83x
Tick 209: Raw=20, Pruned=24, Speedup=0.83x
Tick 210: Raw=20, Pruned=24, Speedup=0.83x
Tick 211: Raw=20, Pruned=24, Speedup=0.83x
Tick 212: Raw=20, Pruned=24, Speedup=0.83x
Tick 213: Raw=20, Pruned=24, Speedup=0.83x
Tick 214: Raw=20, Pruned=24, Speedup=0.83x
Tick 215: Raw=20, Pruned=24, Speedup=0.83x
Tick 216: Raw=20, Pruned=24, Speedup=0.83x
Tick 217: Raw=20, Pruned=24, Speedup=0.83x
Tick 218: Raw=20, Pruned=24, Speedup=0.83x
Tick 219: Raw=20, Pruned=24, Speedup=0.83x
Tick 220: Raw=20, Pruned=24, Speedup=0.83x
Tick 221: Raw=20, Pruned=24, Speedup=0.83x
Tick 222: Raw=20, Pruned=24, Speedup=0.83x
Tick 223: Raw=20, Pruned=24, Speedup=0.83x
Tick 224: Raw=20, Pruned=24, Speedup=0.83x
Tick 225: Raw=20, Pruned=24, Speedup=0.83x
